[Header]
TITLE,heat_capacity_multifield.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,5.0,MASS:Sample Mass (mg)
INFO,0.01,MASSERR:Sample Mass Error (mg)
INFO,950.0,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
0.00000,anonymized
6248.69157,,1857,14.0947,14.0947,0.48746994,9.8999999E-6,14.12255,0.28592209,25580.805,84.35,22.061547,0.2391,143.78731,0.2965,6.4796409,8.5984333,0.080412771,92.536801,938.72364,937.7,1,,,,1.769874E-5,16.422049,199.44641,1811.3447,0
6421.25168,,1857,14.6043,14.6043,0.52496761,9.8999999E-6,14.640046,0.29623566,27566.225,89.42,24.105118,0.2599,155.27847,0.31,8.6962302,8.7816787,0.08373319,92.463814,1358.0289,76.25,1,,,,1.872103E-5,17.196867,214.33093,1882.933,0
6874.14409,,1857,15.1214,15.1214,0.48746994,9.8999999E-6,15.200144,0.30575418,29794.284,99.15,26.860475,0.3016,168.636,0.3512,16.934655,9.2111697,0.09071254,92.382115,1111.5162,1.835E6,1,,,,1.9386065E-5,17.563357,231.04439,1960.1316,0
7051.47719,,1857,15.6351,15.6351,0.50621879,9.8999999E-6,15.714273,0.31887973,31803.178,111.7,29.925902,0.3588,181.26071,0.4115,11.138572,9.5901674,0.099026968,92.246739,-16433251,1.586E7,1,,,,2.0020268E-5,18.422339,246.93837,2023.8403,0
7228.92332,,1857,16.1492,16.1492,0.59996301,9.8999999E-6,16.230678,0.33090793,33840.328,126,33.164965,0.4197,194.19351,0.481,3.2509985,9.9484067,0.10744555,92.113399,6194.573,3930,1,,,,2.0682535E-5,19.180335,263.43489,2084.9609,0
7410.16385,,1857,16.662,16.662,0.48746994,9.8999999E-6,16.748406,0.34228167,36044.082,137.7,36.172243,0.4681,207.68731,0.5328,2.9142192,10.269819,0.11390049,92.030087,1219.4114,5.159,1,,,,2.1431696E-5,19.896813,280.5091,2152.0903,0
7593.70709,,1857,17.1765,17.1765,0.54371649,9.8999999E-6,17.265971,0.35364032,38301.827,145.6,38.931644,0.5031,221.19015,0.5624,1.5690246,10.599346,0.11938567,91.974714,-11347090,1.329E6,1,,,,2.2119519E-5,20.539637,298.11375,2218.3419,0
7780.24587,,1857,17.6895,17.6895,0.52496761,9.8999999E-6,17.783375,0.36482958,40608.607,154.8,41.627627,0.5323,234.8629,0.5987,2.0722159,10.922392,0.12473755,91.907609,-6662668.5,1.989E4,1,,,,2.2800231E-5,21.198691,316.24843,2283.5152,0
7969.63693,,1857,18.2027,18.2027,0.58121419,9.8999999E-6,18.301321,0.37624982,42911.396,162.7,44.37805,0.5616,248.5711,0.6276,1.6271253,11.204836,0.12917469,91.87907,-7186519.6,6.775E4,1,,,,2.3523811E-5,21.844784,334.93835,2344.7158,0
8159.59871,,1857,18.7158,18.7158,0.54371649,9.8999999E-6,18.81798,0.38662425,45298.507,171.6,47.241407,0.5933,262.79348,0.6615,3.3934002,11.542901,0.13511008,91.798725,-8683480.6,1.629E5,1,,,,2.4152301E-5,22.409673,354.11639,2407.1928,0
